name	highway	maxheight	@lat	@lon
Thurlow Park Road	trunk	4.1	51.4406726	-0.1040272
Bear Alley	unclassified	4.26	51.5160451	-0.1041319
Bear Alley	unclassified	4.26	51.5160056	-0.1045109
Bear Alley	unclassified	4.26	51.5159881	-0.1046858
Suttons Way	service	4.7	51.5217189	-0.0921332
Stephen Street	unclassified	default	51.5180624	-0.1321794
Maple Place	service	below_default	51.5223022	-0.1378646
Charles Place	service	10'	51.5271008	-0.1368722
Charles Place	service	10'	51.5271586	-0.1369320
Berners Mews	service	3.2	51.5171142	-0.1359862
Berners Place	service	3.2	51.5168775	-0.1358144
Charlotte Mews	unclassified	"11'0"""	51.5203895	-0.1359457
Charlotte Mews	unclassified	default	51.5208860	-0.1364470
Lewisham Road	primary	4.9	51.4650751	-0.0112406
St Catherine's Mews	residential	below_default	51.4941755	-0.1639093
Link Street	residential	3.3	51.5472941	-0.0493183
Lincoln Road	footway	5.02	51.6473814	-0.0742012
Lincoln Road	tertiary	5.02	51.6473677	-0.0739692
Lombard Road	secondary	3.2	51.4728917	-0.1767863
Lombard Road	secondary	3.2	51.4724150	-0.1769587
	service	3.85	51.5380557	-0.1404917
	service	2	51.5805318	-0.3402263
	service	2	51.5806934	-0.3400303
	service	2	51.5806932	-0.3400304
	service	2	51.5806920	-0.3400315
	service	2	51.5806917	-0.3400367
	service	2	51.5809299	-0.3398862
	service	2	51.5806908	-0.3400375
	service	2	51.5806540	-0.3402485
	service	2	51.5809333	-0.3398003
	service	2	51.5806973	-0.3400367
	service	default	51.5259019	-0.1289355
	pedestrian	below_default	51.4779981	-0.0268963
	service	below_default	51.5266896	-0.1285933
Pancras Road	primary	4.7	51.5337880	-0.1276236
Wood Street	unclassified	default	51.5173777	-0.0937342
	service	default	51.5118585	-0.1167382
	service	below_default	51.4813726	-0.0238275
Peterborough Court	unclassified	below_default	51.5143467	-0.1065130
Gough Square	service	3.5	51.5150405	-0.1078949
Gough Square	service	3.5	51.5151341	-0.1081090
Portland Mews	service	3.2	51.5144315	-0.1363903
	service	"10'9"""	51.5154479	-0.1349863
Howland Mews East	service	below_default	51.5219131	-0.1362292
Sunlight Square	unclassified	3.7	51.5256183	-0.0573059
	service	none	51.5249616	-0.0948305
	service	"12'0"""	51.4525548	-0.0170344
Armoury Road	residential	below_default	51.4664595	-0.0147507
French Ordinary Court	service	"7'9"""	51.5112510	-0.0785628
French Ordinary Court	service	"7'9"""	51.5111880	-0.0785426
	service	2.5	51.5177066	-0.1625569
Cato Street	residential	2.6	51.5182936	-0.1655292
Unwin Road	service	4	51.4982965	-0.1752096
Fairfield Road	secondary	4.1	51.5302764	-0.0215712
Fairfield Road	secondary	4.1	51.5305796	-0.0218847
	service	1.98	51.4636475	-0.3055576
Mantle Road	tertiary	"8'6"""	51.4650404	-0.0381385
Bakers Hill	unclassified	"7'0"""	51.6585565	-0.1813331
Fisher Close	residential	"7'6"""	51.5511223	-0.0433323
	service	default	51.5235873	-0.1270579
	service	below_default	51.5100214	-0.0384320
St Michael's Mews	unclassified	below_default	51.4912897	-0.1549243
	service	below_default	51.4905713	-0.1545909
High Road	trunk	4.8	51.5803447	-0.0726956
Novotel Parking	service	1.8	51.4922854	-0.2201580
Black Prince Road	residential	"13'9"""	51.4919209	-0.1194022
Three Colts Lane	secondary	"15'6"""	51.5245090	-0.0566650
Hertford Place	service	below_default	51.5228846	-0.1380676
Talgarth Road	trunk_link	default	51.4912570	-0.2218181
Royal College Street	primary	4.8	51.5419306	-0.1384885
Vallance Road	secondary	"12'9"""	51.5233875	-0.0640465
	service	2.7	51.5313191	0.1458571
	service	4.2	51.5599108	0.0074406
	service	4.2	51.5599678	0.0074784
	service	4.2	51.5599409	0.0075135
	service	4.2	51.5599705	0.0074317
	service	3.9	51.5005770	-0.1164535
Wick Lane	tertiary	3.88	51.5380570	-0.0256079
	service	none	51.6139161	-0.1510334
	service	below_default	51.6013176	-0.2095182
	service	default	51.5271591	-0.1290277
	service	3.9	51.5158630	-0.0901708
	service	2.8	51.5146677	-0.0957305
	service	1.8	51.5147098	-0.0957190
	service	5	51.5132653	-0.0943543
Ravensbourne Park	tertiary	4.5	51.4440059	-0.0261274
Marsh Road	tertiary	4.9	51.5932011	-0.3821049
London Road	service	none	51.4056085	-0.1640271
London Road	service	none	51.4067845	-0.1638960
Bush Lane	unclassified	default	51.5105380	-0.0896487
Studio Place	residential	3.5	51.5019063	-0.1572434
Kinnerton Place South	residential	2.7	51.5014365	-0.1570782
	service	4.3	51.4998640	-0.1570409
	service	4.3	51.4998776	-0.1569661
	service	4.2	51.4999334	-0.1569906
Turnpike Lane	primary	4.98	51.5882588	-0.1126304
Eastern Avenue	trunk	default	51.5514849	-0.0172671
Northwall Road	unclassified	default	51.5513996	-0.0153332
	trunk_link	default	51.5513825	-0.0172486
Temple Mills Road	trunk_link	default	51.5516569	-0.0172994
Eastern Avenue	trunk	default	51.5515707	-0.0172888
Old York Road	tertiary	4.8	51.4612881	-0.1872361
Manor Drive North	residential	4.8	51.3846083	-0.2622397
	pedestrian	default	51.5128448	-0.0906251
	service	4.75	51.5120107	-0.0916499
Queenstown Road	primary	4.7	51.4749977	-0.1464964
	service	none	51.5879841	-0.2209951
Wells Mews	service	3.81	51.5173786	-0.1378069
Wells Mews	service	3.81	51.5173415	-0.1378730
Royal Crest Avenue	residential	default	51.5017697	0.0301283
Leman Street	primary	4.8	51.5110329	-0.0685981
Back Church Lane	unclassified	5	51.5113405	-0.0668988
	residential	4.1	51.5423385	-0.0576187
Martello Terrace	unclassified	3.6	51.5408812	-0.0578182
Lamb Lane	unclassified	4.7	51.5401437	-0.0580137
Warburton Road	unclassified	4.7	51.5387613	-0.0582327
Exmouth Place	unclassified	4.7	51.5389098	-0.0582215
London Lane	residential	4.5	51.5419137	-0.0576357
Bocking Street	unclassified	4.8	51.5372930	-0.0581668
Westgate Street	tertiary	4.8	51.5377815	-0.0581902
King Charles Street	unclassified	default	51.5021365	-0.1265421
Headstone Drive	tertiary	4.1	51.5937917	-0.3381055
Elm Road	residential	"9'0"""	51.4021398	-0.2653126
Royal College Street	primary	4.8	51.5417453	-0.1383121
Manbey Mews	footway	3	51.5446172	0.0060780
Manbey Mews	footway	2	51.5446983	0.0065595
	service	below_default	51.5442387	0.0068908
	service	below_default	51.5443508	0.0075925
Manbey Mews	footway	3	51.5446290	0.0061493
	service	3.6	51.5333416	-0.0571042
	service	default	51.5418069	0.0088299
	service	3.2	51.5014037	-0.1158395
Suttons Way	service	4.7	51.5216980	-0.0923393
Suttons Way	service	4.7	51.5217546	-0.0917829
Neasden Lane	secondary	4.64	51.5524568	-0.2487581
	service	default	51.5015186	-0.1664582
	service	default	51.5013663	-0.1657267
Trussley Road	residential	3.3	51.4987605	-0.2259933
	service	below_default	51.4587488	0.0010659
Long Drive Low Bridge	tertiary	3.6	51.5567049	-0.3980895
	service	4.6	51.5390293	-0.0563990
	service	4.6	51.5390082	-0.0562976
Mare Street	primary	4.8	51.5469836	-0.0550397
Braithwaite Street	cycleway	"13'3"""	51.5227995	-0.0753512
	service	2.80	51.5442870	0.0047502
	service	3.9	51.5271764	-0.0368639
	service	3.9	51.5272026	-0.0367936
	service	none	51.3235886	-0.1300494
Station Road	primary	4.9	51.5846262	-0.3621961
Pickering Close	service	2.8	51.5420628	-0.0468480
Leman Street	primary	4.8	51.5108344	-0.0685344
Portland Road	primary	3.7	51.3989895	-0.0736363
	cycleway	4	51.4846005	0.1730776
Ravensbourne Park	tertiary	4.5	51.4440634	-0.0261346
Ravensbourne Park	tertiary	4.5	51.4441152	-0.0263006
Upper Elmers End Road	residential	"14'9"""	51.3888105	-0.0244619
Bolina Road	cycleway	2.3	51.4881762	-0.0501636
Bolina Road	cycleway	2.3	51.4878216	-0.0508059
Loampit Vale	trunk	4.8	51.4647377	-0.0166353
Whale's Yard	service	3.5	51.5389769	0.0048072
	cycleway	3.7	51.4823388	-0.0398383
Cypress Place	service	"12'0"""	51.5221712	-0.1365165
	service	4.2	51.4807241	-0.0591382
	service	4.2	51.4806920	-0.0591700
	service	4.2	51.4806704	-0.0591914
	service	4.2	51.4806393	-0.0592222
	service	4.2	51.4806515	-0.0590647
Patterdale Road	residential	default	51.4797086	-0.0545194
Wagner Street	service	below_default	51.4790645	-0.0539073
	service	"6'6"""	51.5389425	0.0340792
	service	"6'6"""	51.5388886	0.0340541
Woodlands Way	residential	"13'3"""	51.4597558	-0.2088724
Chopwell Close	residential	default	51.5391438	0.0029689
Gough Square	service	3.5	51.5150943	-0.1080998
Loampit Vale	trunk	4.8	51.4648131	-0.0168650
	service	default	51.4452500	-0.3305202
Old Mitre Court	residential	"10'8"""	51.5139875	-0.1093874
	service	2.04	51.5361671	-0.3195070
Elizabeth Bridge	residential	4.5	51.4921026	-0.1465104
	service	2.2	51.5274419	-0.1339829
Grange Vale	residential	3.5	51.3555498	-0.1934194
Cockspur Court	residential	default	51.5071628	-0.1293308
High Road	trunk	4.8	51.5798890	-0.0727829
Mulberry Mews	residential	below_default	51.4740708	-0.0335546
Queen Elizabeth Road	unclassified	"10'3"""	51.4127971	-0.2960676
Royal College Street	primary	4.8	51.5418612	-0.1384220
Sebert Road	residential	4.7	51.5515113	0.0340043
Balmoral Road	tertiary	4.2	51.5513893	0.0344325
Latimer Road	residential	4.5	51.5518178	0.0315472
Royal Albert Hall Loading Bay	service	"14'9"""	51.5001541	-0.1775254
Millers Row	residential	default	51.5492064	-0.0115309
Millers Row	residential	default	51.5487909	-0.0123150
Weavers Row	residential	default	51.5486121	-0.0126555
Cavendish Mews South	residential	below_default	51.5197175	-0.1434227
Cavendish Mews North	unclassified	"10'6"""	51.5202995	-0.1437014
	service	4.5	51.4520373	-0.0165442
	service	4.5	51.4520667	-0.0163145
	service	4.5	51.4520276	-0.0164196
Portman Mews South	unclassified	default	51.5148783	-0.1544769
Norman Road	secondary	default	51.4780174	-0.0176528
Norman Road	secondary	default	51.4779020	-0.0176659
Lea Bridge Road	primary	4.9	51.5738402	-0.0149832
Ayrton Road	service	4	51.4988723	-0.1770523
Lower Downs Road	tertiary	"7'9"""	51.4127311	-0.2193573
	service	below_default	51.5193695	-0.1332735
	service	below_default	51.5222330	-0.1380801
	service	below_default	51.5265648	-0.1242352
Adrian Mews	residential	below_default	51.4851168	-0.1889935
	service	3	51.5179850	-0.1539013
Manchester Mews	service	3.2	51.5180993	-0.1535568
	service	2.5	51.5197872	-0.1549448
	service	3	51.5198599	-0.1546472
	service	2.08	51.5102574	-0.1596483
Pancras Road	primary	4.7	51.5337880	-0.1278988
Pancras Road	primary	4.7	51.5336004	-0.1282416
Romney Mews	service	2.5	51.5215857	-0.1559829
	service	3.5	51.5149578	-0.1599585
Wythburn Place	residential	3.5	51.5158027	-0.1603221
Beverston Mews	service	3.4	51.5193224	-0.1602903
Bow Road	trunk	4.76	51.5276319	-0.0227841
Old Street	trunk	4.8	51.5271934	-0.0782623
Lea Bridge Road	primary	4.9	51.5737550	-0.0151035
	service	3	51.5182864	-0.1667525
	service	2	51.5195642	-0.1653644
	service	2.5	51.5197584	-0.1652368
Huntsworth Mews	residential	3	51.5242240	-0.1613262
Huntsworth Mews	residential	3.3	51.5244110	-0.1614164
	service	3.2	51.5249678	-0.1609268
	service	2.1	51.5214598	-0.1643957
Palgrave Gardens	residential	4	51.5256066	-0.1630563
	service	4.3	51.3926192	0.0022539
	service	4.3	51.3925675	0.0022994
	service	4.3	51.3925095	0.0023375
	cycleway	"7'5"""	51.5639925	-0.0413623
Cannon Hill Lane	residential	4.6	51.4072816	-0.2114584
Whatley Avenue	residential	4.7	51.4074783	-0.2117838
	service	"8'4"""	51.4089269	-0.2276383
	service	below_default	51.3859123	-0.0697369
	service	below_default	51.5479938	0.0214635
	service	below_default	51.4916952	-0.1722667
Sydney Close	residential	below_default	51.4912281	-0.1730503
Streatham Road	primary	4.7	51.4177519	-0.1503972
Royal College Street	primary	4.8	51.5419917	-0.1385356
St Pancras Way	primary	4.6	51.5417949	-0.1355684
	service	4.1	51.4404677	-0.1251811
Wood Lane	primary	4.9	51.5094801	-0.2245376
	service	default	51.4301380	-0.1292318
Suttons Way	service	4.7	51.5216780	-0.0925245
Links Avenue	tertiary	4.8	51.3995522	-0.2014804
St. Clements Court	residential	2.5	51.5118430	-0.2162255
Eastbourne Mews	service	"10'6"""	51.5160571	-0.1785847
Eastbourne Mews	service	"10'6"""	51.5161337	-0.1787035
Toynbee Road	residential	4.4	51.4143679	-0.2149187
Kingston Road	primary	default	51.4092017	-0.2140665
Park West Place	residential	6	51.5164279	-0.1656997
Park West Place	residential	6	51.5162304	-0.1653948
Park West Place	residential	6	51.5160140	-0.1650713
Park West Place	residential	6	51.5158180	-0.1647760
Erconwald Street	residential	4.5	51.5166287	-0.2472268
Adam and Eve Mews	residential	default	51.5002005	-0.1947863
Portsea Mews	residential	3	51.5151276	-0.1644678
Conway Mews	service	below_default	51.5221109	-0.1396384
Wood Street	residential	default	51.5176104	-0.0936139
High Street	primary	4.8	51.4181237	-0.0600530
Chenies Mews	service	below_default	51.5230459	-0.1345095
	service	default	51.4882928	-0.2893331
Deptford Church Street	unclassified	4.8	51.4784377	-0.0229806
Deptford Church Street	primary	4.8	51.4784454	-0.0228734
Alexander Mews	residential	below_default	51.5170745	-0.1923059
Camden Road	trunk	"15'6"""	51.5417753	-0.1383969
St John's Mews	service	below_default	51.5149818	-0.1991218
Ossington Close	residential	below_default	51.5115914	-0.1929495
Ovington Mews	unclassified	default	51.4977053	-0.1661912
	service	below_default	51.5137698	-0.2009359
Pencombe Mews	residential	below_default	51.5135502	-0.2006702
	service	2.1	51.5136114	-0.1152688
	service	2.1	51.5136137	-0.1150123
Bexley High Street	primary	4.5	51.4411781	0.1510767
St Luke's Mews	residential	below_default	51.5181142	-0.2019573
Station Road	primary	4.9	51.5848161	-0.3620016
	service	below_default	51.4936994	-0.1631355
Glamis Road	tertiary	4.8	51.5082150	-0.0507227
Lorne Road	residential	4.5	51.5517326	0.0329351
	service	"12'0"""	51.5184424	-0.2244794
Silchester Road	tertiary	4.7	51.5146568	-0.2143519
Dale Row	residential	below_default	51.5147702	-0.2101111
Wells Way	service	4	51.4987213	-0.1786897
Bignold Road	residential	4.4	51.5527891	0.0223679
Strode Road	residential	4.8	51.5532683	0.0214840
Turnpike Lane	primary	4.98	51.5882192	-0.1125825
Poyser Street	unclassified	"13'3"""	51.5293942	-0.0565193
Sunlight Square	unclassified	3.7	51.5257426	-0.0567949
Sunlight Square	unclassified	3.7	51.5257729	-0.0565478
	service	default	51.4887162	-0.1652178
	service	below_default	51.4910539	-0.1537833
Blue Fin Loading Bay	service	3.6	51.5061793	-0.0995285
Prince of Wales Road	tertiary	"16'6"""	51.5463984	-0.1466628
Malden Road	primary	4.7	51.3858228	-0.2532926
	service	2.3	51.5126676	-0.0990195
	service	4.1	51.5345564	-0.0216668
Knatchbull Road	residential	4.3	51.4746819	-0.0968167
High Street	secondary	4.8	51.4036897	-0.2568236
Vantage Place	service	below_default	51.4981516	-0.1961413
Dock Road	unclassified	"15'0"""	51.4817455	-0.3040935
Coombe Road	secondary	4.8	51.4038207	-0.2568647
Clinton Road	residential	"15'0"""	51.5523604	0.0234339
	service	1.87	51.5213989	-0.0941066
	service	1.87	51.5213858	-0.0941931
Turnpike Lane	primary	4.98	51.5881177	-0.1128760
	service	2	51.5733214	-0.0378167
	service	2.3	51.5184256	0.0323660
	service	2.1	51.5478814	-0.0063342
Brighton Road	secondary	"15'6"""	51.3221434	-0.1365370
	service	2.3	51.4985303	-0.1498009
	service	2.25	51.6726524	-0.0226236
Elmgreen Close	residential	default	51.5366370	0.0079122
Wells Way	service	4	51.4982722	-0.1786355
The Gardens	cycleway	4.4	51.5796452	-0.3526379
The Gardens	tertiary	4.4	51.5795888	-0.3525763
	service	"7'0"""	51.5694276	0.1294902
	service	3.8	51.4988410	-0.1592570
	service	3.8	51.4989142	-0.1586997
	service	2.1	51.4295522	-0.1731038
Pier Road	trunk	4.8	51.4980386	0.0599894
Woodford Road	primary	4.9	51.5520088	0.0252897
Thames Road	primary	"16'3"""	51.4562910	0.2005246
	service	2.2	51.5393442	-0.0472186
	service	2.2	51.5477008	0.0177175
Stoats Nest Road	secondary	"14'6"""	51.3256051	-0.1286423
	pedestrian	3.7	51.5235814	-0.1324177
London Road	service	none	51.4055068	-0.1640743
St. Mark's Road	residential	4.5	51.5164815	-0.2133637
Fleet Square	residential	3.4	51.5271398	-0.1160064
Fleet Square	residential	3.4	51.5271079	-0.1161478
Thames Side	service	2.5	51.4133008	-0.3076537
Dalston Lane	primary	4.8	51.5490713	-0.0608725
Digby Road	residential	3.3	51.5471257	-0.0443434
Government Row	residential	4.19	51.6707270	-0.0173469
			51.5235275	-0.0603340
			51.5271833	-0.0780547
			51.5275886	-0.0230528
			51.5473205	-0.0478181
			51.5480505	-0.0476751
			51.5265260	-0.1314179
			51.5268959	-0.1302765
			51.5234407	-0.1398771
			51.5279782	0.0048204
			51.5286584	0.0049019
			51.5240178	-0.0603806
			51.5089890	-0.0064789
			51.5113021	-0.0313608
			51.5102356	-0.0289467
			51.5418049	-0.1383702
			51.5419761	-0.1357834
			51.5463715	-0.1467669
			51.5419111	-0.1357109
Hanger Lane	motorway_junction		51.5309591	-0.2999555
			51.5300032	-0.2947129
			51.5300835	-0.2946884
			51.5355802	-0.3196892
			51.5169073	-0.2139868
			51.5006387	0.0019255
			51.4936766	-0.4287749
			51.4935387	-0.4288110
			51.5859464	-0.2200068
			51.5863038	-0.2202266
			51.5871446	-0.2207205
			51.5118043	-0.3362411
			51.4967967	0.0020377
			51.5243798	-0.0150990
			51.5471697	-0.0550234
			51.5613881	-0.2204773
			51.5183247	-0.2069753
			51.5571496	-0.3623110
			51.4612188	-0.1872887
			51.4721952	-0.1770970
			51.4014735	-0.2679277
			51.3906583	-0.3079825
			51.3911394	-0.3090299
			51.3773020	-0.2785985
			51.5108134	-0.0685264
			51.4439892	-0.0259402
			51.6083712	-0.2095109
			51.4538437	-0.0040133
			51.4440497	-0.0260527
			51.4441534	-0.0263847
			51.4785337	-0.0229951
			51.4583566	-0.0128098
			51.4437382	-0.0263038
			51.5661470	0.0022752
			51.5663593	0.0025702
			51.6585588	-0.1813807
			51.4848725	-0.0420789
			51.4825718	-0.0372886
			51.4887254	-0.0576223
			51.4867267	0.0194763
			51.5170133	-0.1359039
			51.5364649	-0.1047700
			51.5363150	-0.1035568
			51.6160483	-0.1867278
			51.5440952	-0.0250565
			51.5436107	-0.0254351
			51.5432708	-0.0255776
			51.4702712	-0.1644329
			51.4749176	-0.1463983
			51.5081317	-0.0076179
			51.5081873	-0.0056683
			51.5096652	-0.0068415
			51.5738198	-0.0150119
			51.5057122	-0.1154558
			51.5007243	-0.0515681
			51.5013828	-0.0502862
			51.5017166	-0.0498249
			51.5085492	-0.0483969
			51.5343953	-0.0581063
			51.4453435	0.0051845
	traffic_signals		51.4062578	0.0013381
	traffic_signals		51.4062484	0.0021162
			51.3908686	-0.0284979
			51.3876794	-0.0236384
			51.4037734	-0.0552539
	traffic_signals		51.3994935	-0.0746232
			51.3989090	-0.0734724
			51.3991937	-0.0740544
			51.4734436	-0.0578680
			51.4653620	-0.0181453
			51.4979319	0.0597444
			51.4951085	0.0613971
			51.4623206	-0.0163517
			51.4621589	-0.0167057
			51.4664865	-0.0148225
			51.4664325	-0.0146788
			51.4144952	-0.1293087
			51.4136183	-0.1305443
			51.4123791	-0.1276333
			51.4129671	-0.1261584
			51.3947029	-0.0274958
			51.3942145	-0.0273871
			51.3937318	-0.0273497
			51.3927250	-0.0274012
			51.3917861	-0.0275941
			51.3912543	-0.0280259
			51.4598371	-0.2088627
			51.5136236	-0.0375905
			51.5110095	-0.0312827
			51.5109225	-0.0302450
			51.5120537	-0.0536390
			51.5109212	-0.0668458
			51.5240855	-0.0555122
			51.5471233	-0.0419555
			51.5467836	-0.0476662
			51.5467875	-0.0478371
			51.5088878	-0.0072042
			51.4944159	-0.2339338
			51.4920110	-0.1462792
			51.5234118	-0.1113254
			51.5175350	-0.0936430
			51.5175831	-0.0979461
			51.4073284	-0.1637641
			51.3538542	-0.0374238
			51.3547107	-0.0419388
			51.3547556	-0.0417863
			51.3543652	-0.0400649
			51.3593017	-0.0927841
			51.5574415	-0.3621298
			51.5230531	-0.1408525
			51.4637057	-0.1177472
			51.5154249	-0.1349677
			51.4924495	-0.1475509
			51.3846318	-0.2622514
			51.5345219	-0.0556985
			51.4609098	-0.1876368
			51.3182998	-0.1602205
			51.3169440	-0.1604745
			51.5565033	-0.3620494
			51.4698126	-0.0683676
			51.4705310	-0.0689529
			51.5135870	-0.1115193
			51.5216735	-0.0925560
			51.5088330	-0.1228341
			51.5151536	-0.1081149
			51.5113573	-0.0785998
			51.5176518	-0.0977828
			51.5195812	-0.1458232
			51.5021356	-0.1265288
			51.5135066	-0.1224261
			51.5128051	-0.1237079
			51.5132105	-0.1229734
			51.5189766	-0.2073623
			51.4962621	-0.4567494
			51.6221868	-0.1353242
			51.4341354	0.1025799
			51.6251427	-0.0610108
			51.4477218	0.0304332
			51.4469634	0.0307671
			51.5334786	-0.0579543
			51.5334733	-0.0580718
			51.5344234	-0.0577397
			51.5336794	-0.0579800
			51.5166013	-0.2472667
			51.5166562	-0.2471869
			51.3930729	0.1391825
			51.5128004	-0.1844726
			51.5137865	-0.1803862
			51.5107288	-0.0727652
			51.5109143	-0.0727846
	crossing		51.3634376	-0.3009970
			51.4854914	-0.0967328
			51.4855514	-0.0973671
			51.4857436	-0.0956755
			51.4861510	-0.0962347
			51.4857546	-0.0973847
			51.4821491	-0.0961453
			51.4822774	-0.0952527
			51.5125851	-0.0400354
			51.5121832	-0.0402059
			51.5118158	-0.0345056
			51.5120920	-0.0345620
			51.5099107	-0.0278065
			51.5098106	-0.0279299
			51.5103018	-0.0285966
			51.4653961	-0.0111384
			51.5144916	-0.1364393
			51.5429775	-0.4779057
			51.5431087	-0.4778234
			51.5854604	-0.2197237
			51.4719361	-0.1771473
			51.5706947	-0.4111976
	traffic_signals		51.5738196	-0.4133750
	crossing		51.5729400	-0.4128302
			51.5722460	-0.4123740
			51.5865632	-0.2203874
			51.4433666	-0.1555725
	turning_circle		51.4136017	-0.3076140
			51.5104568	-0.0444130
			51.5042632	-0.0487858
			51.5231961	-0.0634851
			51.4990053	-0.1753731
	mini_roundabout		51.4010170	0.0359181
			51.4009469	0.0357957
			51.4003612	0.0354695
			51.4002065	0.0352716
			51.4000914	0.0348755
			51.4000246	0.0336403
			51.3999245	0.0333398
			51.3997854	0.0329503
			51.3995016	0.0324662
			51.3993402	0.0321935
			51.3997479	0.0366361
			51.5489059	-0.1474951
			51.5486241	-0.1467538
			51.4704939	-0.1644160
	traffic_signals		51.5565044	-0.3984477
			51.4724005	-0.1770216
			51.3687356	-0.1652173
			51.4086428	-0.1156539
			51.4088362	-0.1154187
			51.4722547	-0.2531643
			51.3554525	-0.2112910
			51.5576364	-0.3618429
			51.5589016	0.2365551
			51.5587089	0.2377726
			51.5792321	-0.3426618
			51.4640174	0.1819822
			51.4645147	0.1816131
			51.4562545	0.2021248
			51.4561464	0.1998844
			51.5409304	-0.3397779
			51.5404780	-0.3394169
		4.7	51.5369508	-0.3241905
			51.5352545	-0.3198143
			51.5629529	0.0094989
			51.5767815	0.0333892
			51.5769388	0.0338585
Brixton			51.4632908	-0.1148312
			51.4625734	-0.1129365
			51.5488317	-0.1472622
			51.5146596	-0.2142252
			51.5442690	-0.0251185
			51.5433547	-0.0255790
			51.5934333	-0.2363418
			51.5639006	-0.0412802
			51.4977298	0.0599738
			51.4701847	-0.0686735
			51.4764046	-0.1420047
			51.4706422	-0.1573390
			51.4700217	-0.1642660
			51.4974737	0.1212186
			51.4569939	-0.1055625
Shakespeare Road Modal Filter			51.4573493	-0.1051300
			51.5239079	-0.1434834
			51.5238896	-0.1430400
			51.5238953	-0.1428621
			51.4950093	0.0612083
			51.4948379	0.0611159
			51.4588749	0.2011094
			51.4590217	0.1995050
			51.4413074	0.1509071
			51.4646471	0.1090063
			51.4915602	0.1291245
			51.4931473	0.1291074
			51.4938046	0.1290902
			51.4958138	0.1290473
			51.4958993	0.1289529
			51.4935374	0.1291074
			51.4948413	0.1290730
			51.4954932	0.1290473
			51.4840625	0.1716706
			51.4843336	0.1723696
			51.4587733	0.1985668
			51.4589364	0.2004793
			51.4642090	0.1874860
			51.4639996	0.1871596
			51.4963859	0.0022249
		4.9	51.5119479	-0.3365114
			51.5121226	-0.3367240
			51.4644577	0.1774043
			51.4641903	0.1773785
			51.4644439	0.1676618
			51.4642812	0.1086625
		4.8	51.5327899	-0.3078817
			51.4647772	0.1814627
			51.4074931	-0.2116665
			51.3682710	-0.1648934
			51.5926050	-0.0710326
			51.5924681	-0.0707150
			51.5923165	-0.0702321
			51.5926495	-0.0712443
			51.4751328	-0.1465268
			51.4701607	-0.1568801
			51.5366469	-0.3241463
	crossing		51.5355022	-0.3197187
		4.4	51.5357359	-0.3195706
			51.6036556	-0.0707533
			51.6021642	-0.0704386
			51.4073412	0.0547625
			51.4073750	0.0552002
			51.4220905	0.0240061
			51.4220966	0.0237824
			51.5225721	-0.0753618
			51.5272276	-0.0788672
	crossing		51.5082332	-0.0507270
			51.5101859	-0.0461516
			51.5091227	-0.0480546
			51.5079340	-0.0550399
			51.5408604	-0.0575445
			51.5293829	-0.0566423
			51.5294054	-0.0563963
			51.5311597	-0.0572279
			51.5312485	-0.0566277
			51.5136725	-0.0379230
			51.5137141	-0.0381517
			51.5480489	-0.0475590
			51.5406988	-0.0752270
			51.6080246	-0.3751548
			51.6084717	-0.3741172
			51.4912322	-0.2217084
	crossing		51.4912817	-0.2219279
			51.4913619	-0.2223709
	crossing		51.5117951	-0.0536660
			51.5107533	-0.0418513
			51.5124009	-0.0430058
			51.5121809	-0.0430346
			51.5372566	-0.3242228
			51.5361349	-0.3193423
			51.3770994	0.0041382
	traffic_signals		51.5380406	-0.0255866
			51.5929318	-0.3821437
			51.5980582	-0.3913929
			51.4042774	-0.0557769
		"8'6"""	51.4650934	-0.0381450
			51.5763368	-0.3084999
		2.08	51.5176811	-0.2891153
			51.3995883	0.0367307
			51.3992221	0.0369536
			51.4005367	0.0589123
			51.4006953	0.0590606
			51.5744128	-0.1348279
			51.5295482	-0.2912950
			51.5294732	-0.2913463
			51.4809646	-0.0530832
			51.4809539	-0.0529169
			51.4744002	-0.0361365
			51.4744732	-0.0359182
			51.4805705	-0.0309014
			51.5394989	-0.1245995
			51.5356213	-0.1285543
			51.5356712	-0.1292884
			51.5357506	-0.1295736
			51.4867167	0.0193522
			51.4973585	0.0025763
			51.4970903	0.0022702
			51.4982549	0.0024058
			51.4990380	0.0013694
			51.4992627	0.0017133
			51.5027087	-0.0015763
			51.4934855	0.0254219
			51.5020057	-0.1915438
			51.4901717	0.0921438
			51.4900038	0.0920961
			51.4132672	-0.3076576
			51.4981076	0.1213639
			51.4982429	0.1212537
			51.4979577	0.1211587
			51.4973900	0.1210863
			51.5516238	-0.0136758
			51.4989802	-0.1582095
			51.3929577	0.1390992
			51.4801854	-0.0305538
			51.4802080	-0.0305230
			51.4824520	-0.0375871
			51.4815570	-0.0439861
			51.4882162	-0.0501216
			51.4877533	-0.0510909
			51.4877854	-0.0513768
			51.5545410	0.0196781
			51.5547016	0.0200760
			51.5550070	0.0191904
			51.5567612	0.0173787
			51.5559858	0.0181464
			51.5562400	0.0189640
			51.5521016	0.0253045
			51.3546321	-0.0414344
			51.3255149	-0.1284193
			51.3255644	-0.1284668
			51.3257399	-0.1288735
			51.5080743	0.0454548
			51.4826929	-0.0528729
			51.4826879	-0.0525557
			51.4814041	-0.0450304
			51.4814796	-0.0445635
